usuario_id,post_id,label,likes_count,comentarios_count,compartidos_count,reports_count,dias_desde_publicacion,sigue_creador,es_amigo_autor,amigos_que_dieron_like
100123456,6,0,0,0,0,0,0,0,0,0
100123456,3,0,0,0,0,0,0,0,0,0
100123456,5,0,1,0,0,0,0,0,0,0
100123456,2,0,1,0,0,0,0,0,0,0
100234567,1,0,2,0,0,0,0,0,0,0
100234567,6,0,0,0,0,0,0,0,0,0
100234567,4,0,2,0,0,0,0,0,0,0
100234567,3,0,0,0,0,0,0,0,0,0
100345678,1,1,2,0,0,0,0,0,0,0
100345678,4,1,2,0,0,0,0,0,0,0
100345678,5,0,1,0,0,0,0,0,0,0
100345678,2,0,1,0,0,0,0,0,0,0
